storm,year,wind,w1,delta
UNNAMED,1855,70,110,40
UNNAMED,1855,80,110,30
UNNAMED,1856,70,110,40
UNNAMED,1856,80,120,40
UNNAMED,1856,90,130,40
UNNAMED,1856,100,130,30
UNNAMED,1858,50,90,40
UNNAMED,1858,50,90,40
UNNAMED,1859,50,80,30
UNNAMED,1870,70,100,30
UNNAMED,1870,70,100,30
UNNAMED,1870,40,70,30
UNNAMED,1872,40,70,30
UNNAMED,1874,30,60,30
UNNAMED,1878,40,70,30
UNNAMED,1878,40,80,40
UNNAMED,1878,50,90,40
UNNAMED,1878,40,70,30
UNNAMED,1879,50,80,30
UNNAMED,1879,50,80,30
UNNAMED,1880,70,100,30
UNNAMED,1880,80,110,30
UNNAMED,1880,80,120,40
UNNAMED,1880,90,130,40
UNNAMED,1880,40,70,30
UNNAMED,1882,70,100,30
UNNAMED,1882,70,110,40
UNNAMED,1882,80,120,40
UNNAMED,1885,40,70,30
UNNAMED,1885,30,60,30
UNNAMED,1886,35,65,30
UNNAMED,1886,40,75,35
UNNAMED,1886,45,85,40
UNNAMED,1886,45,80,35
UNNAMED,1886,75,110,35
UNNAMED,1886,80,120,40
UNNAMED,1886,90,130,40
UNNAMED,1886,100,130,30
UNNAMED,1888,35,70,35
UNNAMED,1888,55,85,30
UNNAMED,1888,35,65,30
UNNAMED,1888,45,75,30
UNNAMED,1888,50,80,30
UNNAMED,1889,35,65,30
UNNAMED,1889,55,85,30
UNNAMED,1889,60,95,35
UNNAMED,1891,35,75,40
UNNAMED,1891,45,80,35
UNNAMED,1893,35,75,40
UNNAMED,1893,45,85,40
UNNAMED,1893,55,85,30
UNNAMED,1893,85,115,30
UNNAMED,1893,85,115,30
UNNAMED,1894,60,90,30
UNNAMED,1896,45,75,30
UNNAMED,1896,45,85,40
UNNAMED,1896,55,85,30
UNNAMED,1898,35,70,35
UNNAMED,1899,35,65,30
UNNAMED,1899,35,75,40
UNNAMED,1899,45,85,40
UNNAMED,1899,55,85,30
UNNAMED,1900,35,65,30
UNNAMED,1900,45,75,30
UNNAMED,1900,55,85,30
UNNAMED,1900,60,95,35
UNNAMED,1900,65,105,40
UNNAMED,1900,75,115,40
UNNAMED,1900,85,125,40
UNNAMED,1900,95,125,30
UNNAMED,1902,30,60,30
UNNAMED,1902,35,65,30
UNNAMED,1902,45,75,30
UNNAMED,1902,55,85,30
UNNAMED,1902,60,90,30
UNNAMED,1903,50,80,30
UNNAMED,1906,50,80,30
UNNAMED,1906,50,90,40
UNNAMED,1906,60,100,40
UNNAMED,1906,70,105,35
UNNAMED,1909,50,85,35
UNNAMED,1909,55,85,30
UNNAMED,1909,70,100,30
UNNAMED,1910,90,120,30
UNNAMED,1910,90,130,40
UNNAMED,1910,100,130,30
UNNAMED,1915,55,85,30
UNNAMED,1916,40,70,30
UNNAMED,1916,40,80,40
UNNAMED,1916,50,85,35
UNNAMED,1916,60,90,30
UNNAMED,1917,100,130,30
UNNAMED,1918,55,90,35
UNNAMED,1918,60,100,40
UNNAMED,1918,70,105,35
UNNAMED,1920,35,70,35
UNNAMED,1920,45,75,30
UNNAMED,1920,55,85,30
UNNAMED,1921,30,60,30
UNNAMED,1921,35,70,35
UNNAMED,1921,90,120,30
UNNAMED,1924,40,80,40
UNNAMED,1924,50,80,30
UNNAMED,1924,90,120,30
UNNAMED,1924,95,130,35
UNNAMED,1924,100,145,45
UNNAMED,1924,110,145,35
UNNAMED,1929,35,65,30
UNNAMED,1929,35,70,35
UNNAMED,1929,45,75,30
UNNAMED,1931,45,85,40
UNNAMED,1932,45,90,45
UNNAMED,1932,50,110,60
UNNAMED,1932,55,125,70
UNNAMED,1932,65,100,35
UNNAMED,1933,40,75,35
UNNAMED,1933,55,85,30
UNNAMED,1933,60,95,35
UNNAMED,1933,50,80,30
UNNAMED,1933,55,90,35
UNNAMED,1933,60,95,35
UNNAMED,1934,40,70,30
UNNAMED,1936,30,60,30
UNNAMED,1936,30,70,40
UNNAMED,1936,40,70,30
UNNAMED,1938,75,105,30
UNNAMED,1942,60,90,30
UNNAMED,1942,70,100,30
UNNAMED,1943,35,70,35
UNNAMED,1943,45,80,35
UNNAMED,1943,50,90,40
UNNAMED,1943,60,90,30
UNNAMED,1943,40,75,35
UNNAMED,1943,45,80,35
UNNAMED,1943,55,85,30
UNNAMED,1944,40,70,30
UNNAMED,1944,95,125,30
UNNAMED,1945,50,85,35
UNNAMED,1945,50,80,30
UNNAMED,1945,50,80,30
UNNAMED,1945,55,85,30
UNNAMED,1945,60,90,30
UNNAMED,1946,35,75,40
UNNAMED,1946,45,80,35
UNNAMED,1947,40,70,30
UNNAMED,1947,45,80,35
UNNAMED,1947,50,90,40
UNNAMED,1947,60,90,30
UNNAMED,1948,60,105,45
UNNAMED,1948,70,110,40
UNNAMED,1948,80,110,30
UNNAMED,1948,35,90,55
UNNAMED,1948,45,110,65
UNNAMED,1948,55,105,50
UNNAMED,1949,55,85,30
UNNAMED,1949,60,95,35
UNNAMED,1949,65,95,30
